epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1230.14,0.56102,0.65846,0.97688,0.8804,0.84177,0.91022,0.78908,0.55627,0.60765,0.97074,0.00014496,0.00014496,0.00014496
43,1259.62,0.56169,0.63742,0.9719,0.86503,0.85946,0.91318,0.78868,0.5659,0.6086,0.98104,0.000142545,0.000142545,0.000142545
44,1289.31,0.55088,0.60413,0.9662,0.86793,0.84854,0.91258,0.7933,0.53857,0.59739,0.96923,0.000140129,0.000140129,0.000140129
45,1319.3,0.56128,0.61405,0.97494,0.84636,0.83175,0.90115,0.78144,0.5444,0.65592,0.96771,0.000137714,0.000137714,0.000137714
46,1349.1,0.55278,0.61877,0.96897,0.87637,0.8471,0.91872,0.79878,0.55433,0.59497,0.97137,0.000135298,0.000135298,0.000135298
47,1379.01,0.55618,0.60318,0.96894,0.86576,0.86992,0.92355,0.79516,0.55538,0.57865,0.96591,0.000132882,0.000132882,0.000132882
48,1408.81,0.53429,0.59083,0.96471,0.8973,0.84822,0.92387,0.80569,0.54205,0.5663,0.96155,0.000130467,0.000130467,0.000130467
49,1438.76,0.54551,0.59512,0.96349,0.88596,0.82925,0.91416,0.79433,0.55378,0.59158,0.97502,0.000128051,0.000128051,0.000128051
50,1468.42,0.53871,0.57186,0.96511,0.8719,0.83012,0.9122,0.79548,0.54069,0.61658,0.96202,0.000125636,0.000125636,0.000125636
51,1498.17,0.52616,0.57529,0.95622,0.85507,0.86592,0.9189,0.80075,0.53002,0.57269,0.95412,0.00012322,0.00012322,0.00012322
52,1528.02,0.52754,0.55207,0.96284,0.86455,0.84962,0.91639,0.80063,0.53812,0.59714,0.96284,0.000120804,0.000120804,0.000120804
53,1557.79,0.53427,0.56858,0.96196,0.89147,0.82476,0.91518,0.80036,0.52689,0.59203,0.95919,0.000118389,0.000118389,0.000118389
54,1587.87,0.51835,0.5523,0.95181,0.86742,0.8606,0.92273,0.80733,0.53277,0.57232,0.96266,0.000115973,0.000115973,0.000115973
55,1617.81,0.53515,0.55774,0.96511,0.89438,0.81665,0.91099,0.79597,0.54443,0.58989,0.96171,0.000113558,0.000113558,0.000113558
56,1647.95,0.52368,0.55304,0.96243,0.87867,0.8552,0.91633,0.7937,0.5467,0.58999,0.96954,0.000111142,0.000111142,0.000111142
57,1677.75,0.52722,0.54259,0.95871,0.88016,0.84064,0.91938,0.80466,0.52572,0.57738,0.95435,0.000108726,0.000108726,0.000108726
58,1707.69,0.51971,0.53282,0.95712,0.86951,0.83865,0.92035,0.80274,0.53689,0.58279,0.97437,0.000106311,0.000106311,0.000106311
59,1737.31,0.52489,0.52472,0.95677,0.88661,0.85581,0.92193,0.8033,0.52806,0.55735,0.96476,0.000103895,0.000103895,0.000103895
60,1766.84,0.50625,0.51268,0.9499,0.86508,0.83704,0.91701,0.80346,0.52347,0.58378,0.95729,0.00010148,0.00010148,0.00010148
61,1796.56,0.52055,0.52886,0.9528,0.9049,0.82727,0.92106,0.79917,0.54414,0.55895,0.96593,9.9064e-05,9.9064e-05,9.9064e-05
62,1826.29,0.51673,0.51758,0.95601,0.88627,0.8438,0.92728,0.80378,0.54536,0.55181,0.97172,9.66484e-05,9.66484e-05,9.66484e-05
63,1856.29,0.51241,0.51908,0.9564,0.88854,0.86474,0.92528,0.81038,0.53393,0.54277,0.96276,9.42328e-05,9.42328e-05,9.42328e-05
64,1885.76,0.50175,0.49443,0.95275,0.86892,0.87541,0.93171,0.81168,0.53606,0.54741,0.96869,9.18172e-05,9.18172e-05,9.18172e-05
65,1915.53,0.50487,0.50012,0.95197,0.8651,0.85899,0.92427,0.80877,0.53883,0.56248,0.97321,8.94016e-05,8.94016e-05,8.94016e-05
66,1945.2,0.49712,0.4899,0.94545,0.90572,0.81169,0.91856,0.80397,0.54537,0.57957,0.98259,8.6986e-05,8.6986e-05,8.6986e-05
67,1973.92,0.49532,0.4896,0.94729,0.89629,0.83312,0.92466,0.80722,0.5406,0.56551,0.9683,8.45704e-05,8.45704e-05,8.45704e-05
68,2003.52,0.5024,0.48608,0.95103,0.90197,0.83108,0.92303,0.80749,0.54177,0.55614,0.975,8.21548e-05,8.21548e-05,8.21548e-05
69,2032.34,0.49272,0.47581,0.94195,0.90741,0.83186,0.92887,0.8127,0.53949,0.54639,0.97173,7.97392e-05,7.97392e-05,7.97392e-05
70,2061.51,0.48385,0.48657,0.94357,0.84267,0.88903,0.91946,0.80532,0.52611,0.56081,0.96554,7.73236e-05,7.73236e-05,7.73236e-05
71,2089.74,0.48044,0.47122,0.94153,0.89131,0.84775,0.9298,0.81388,0.52381,0.53448,0.96597,7.4908e-05,7.4908e-05,7.4908e-05
72,2117.74,0.48767,0.46303,0.94332,0.90351,0.85477,0.93156,0.81752,0.53278,0.52722,0.97448,7.24924e-05,7.24924e-05,7.24924e-05
73,2145.9,0.48439,0.46781,0.94502,0.8965,0.85879,0.9202,0.80863,0.53314,0.54498,0.97164,7.00768e-05,7.00768e-05,7.00768e-05
74,2174.62,0.48548,0.46619,0.94327,0.86806,0.87545,0.92713,0.81258,0.53723,0.52675,0.97626,6.76612e-05,6.76612e-05,6.76612e-05
75,2203.02,0.47994,0.45266,0.94023,0.85063,0.88981,0.92901,0.8148,0.53864,0.52897,0.97537,6.52456e-05,6.52456e-05,6.52456e-05
76,2231.57,0.47601,0.44495,0.9392,0.89251,0.85215,0.92671,0.81662,0.52274,0.53238,0.96458,6.283e-05,6.283e-05,6.283e-05
77,2259.69,0.47424,0.44797,0.93531,0.86192,0.89071,0.93032,0.81421,0.53793,0.51446,0.97489,6.04144e-05,6.04144e-05,6.04144e-05
78,2288.86,0.47875,0.44354,0.93938,0.8737,0.87427,0.92903,0.81789,0.5233,0.52695,0.96256,5.79988e-05,5.79988e-05,5.79988e-05
79,2317.8,0.46387,0.44215,0.93603,0.88275,0.852,0.92906,0.80994,0.545,0.54626,0.9805,5.55832e-05,5.55832e-05,5.55832e-05
80,2346.51,0.46889,0.43249,0.93746,0.87901,0.8572,0.92399,0.81149,0.53619,0.53903,0.96823,5.31676e-05,5.31676e-05,5.31676e-05
81,2375.57,0.47352,0.42033,0.94253,0.89941,0.83877,0.92003,0.8035,0.54158,0.54932,0.97508,5.0752e-05,5.0752e-05,5.0752e-05
82,2404.37,0.4701,0.43318,0.93171,0.88623,0.87688,0.93215,0.81816,0.53326,0.50657,0.96812,4.83364e-05,4.83364e-05,4.83364e-05
83,2433.26,0.45956,0.42576,0.93044,0.90279,0.85947,0.93362,0.81834,0.53768,0.50572,0.97982,4.59208e-05,4.59208e-05,4.59208e-05
84,2462.39,0.46134,0.41993,0.93241,0.86864,0.87983,0.93078,0.81558,0.53892,0.50852,0.97941,4.35052e-05,4.35052e-05,4.35052e-05
85,2490.8,0.44918,0.40615,0.92522,0.89439,0.85703,0.92965,0.81612,0.52199,0.5156,0.97445,4.10896e-05,4.10896e-05,4.10896e-05
86,2519.23,0.46085,0.4183,0.93034,0.89821,0.85751,0.93323,0.81971,0.52991,0.50456,0.97938,3.8674e-05,3.8674e-05,3.8674e-05
87,2547.72,0.45389,0.40619,0.92914,0.89415,0.87043,0.93457,0.8195,0.528,0.50362,0.96985,3.62584e-05,3.62584e-05,3.62584e-05
88,2576.99,0.44892,0.4087,0.9314,0.89144,0.86906,0.93223,0.81401,0.53338,0.51545,0.9723,3.38428e-05,3.38428e-05,3.38428e-05
89,2606.87,0.44858,0.3997,0.92863,0.89333,0.87099,0.93755,0.81826,0.52943,0.49903,0.9676,3.14272e-05,3.14272e-05,3.14272e-05
90,2636.64,0.4461,0.40226,0.92515,0.91022,0.85229,0.93271,0.81676,0.52076,0.50438,0.96844,2.90116e-05,2.90116e-05,2.90116e-05
91,2700.91,0.33302,0.26969,0.84395,0.89761,0.83978,0.92445,0.80515,0.54196,0.54089,0.98582,2.6596e-05,2.6596e-05,2.6596e-05
92,2729.03,0.32138,0.2444,0.83205,0.87212,0.87714,0.93203,0.81264,0.54306,0.52166,0.98703,2.41804e-05,2.41804e-05,2.41804e-05
93,2757.51,0.31451,0.23845,0.83062,0.8747,0.86782,0.93003,0.81814,0.5258,0.53835,0.97936,2.17648e-05,2.17648e-05,2.17648e-05
94,2787.3,0.31769,0.23996,0.83323,0.83933,0.89412,0.92967,0.81384,0.53489,0.53192,0.97989,1.93492e-05,1.93492e-05,1.93492e-05
95,2816.8,0.31059,0.23219,0.82524,0.85542,0.89932,0.93067,0.81646,0.53119,0.51953,0.98036,1.69336e-05,1.69336e-05,1.69336e-05
96,2845.91,0.30626,0.22692,0.82263,0.89147,0.84758,0.92947,0.81499,0.53279,0.52739,0.9871,1.4518e-05,1.4518e-05,1.4518e-05
97,2874.98,0.30748,0.22805,0.82493,0.88366,0.86583,0.92835,0.8155,0.53275,0.52901,0.98513,1.21024e-05,1.21024e-05,1.21024e-05
98,2903.91,0.30548,0.2253,0.82048,0.88488,0.87785,0.93053,0.81716,0.53097,0.5163,0.98549,9.6868e-06,9.6868e-06,9.6868e-06
99,2932.46,0.29859,0.22248,0.82645,0.86456,0.89404,0.93108,0.82115,0.52679,0.51133,0.98371,7.2712e-06,7.2712e-06,7.2712e-06
100,2961.12,0.30551,0.22318,0.82579,0.86799,0.89068,0.93247,0.82063,0.52773,0.50838,0.9833,4.8556e-06,4.8556e-06,4.8556e-06
